"","names.output."
"1","activityLabel"
"2","activityName"
"3","activitySubject"
"4","tBodyAccmeanX"
"5","tBodyAccmeanY"
"6","tBodyAccmeanZ"
"7","tBodyAccstdX"
"8","tBodyAccstdY"
"9","tBodyAccstdZ"
"10","tGravityAccmeanX"
"11","tGravityAccmeanY"
"12","tGravityAccmeanZ"
"13","tGravityAccstdX"
"14","tGravityAccstdY"
"15","tGravityAccstdZ"
"16","tBodyAccJerkmeanX"
"17","tBodyAccJerkmeanY"
"18","tBodyAccJerkmeanZ"
"19","tBodyAccJerkstdX"
"20","tBodyAccJerkstdY"
"21","tBodyAccJerkstdZ"
"22","tBodyGyromeanX"
"23","tBodyGyromeanY"
"24","tBodyGyromeanZ"
"25","tBodyGyrostdX"
"26","tBodyGyrostdY"
"27","tBodyGyrostdZ"
"28","tBodyGyroJerkmeanX"
"29","tBodyGyroJerkmeanY"
"30","tBodyGyroJerkmeanZ"
"31","tBodyGyroJerkstdX"
"32","tBodyGyroJerkstdY"
"33","tBodyGyroJerkstdZ"
"34","tBodyAccMagmean"
"35","tBodyAccMagstd"
"36","tGravityAccMagmean"
"37","tGravityAccMagstd"
"38","tBodyAccJerkMagmean"
"39","tBodyAccJerkMagstd"
"40","tBodyGyroMagmean"
"41","tBodyGyroMagstd"
"42","tBodyGyroJerkMagmean"
"43","tBodyGyroJerkMagstd"
"44","fBodyAccmeanX"
"45","fBodyAccmeanY"
"46","fBodyAccmeanZ"
"47","fBodyAccstdX"
"48","fBodyAccstdY"
"49","fBodyAccstdZ"
"50","fBodyAccmeanFreqX"
"51","fBodyAccmeanFreqY"
"52","fBodyAccmeanFreqZ"
"53","fBodyAccJerkmeanX"
"54","fBodyAccJerkmeanY"
"55","fBodyAccJerkmeanZ"
"56","fBodyAccJerkstdX"
"57","fBodyAccJerkstdY"
"58","fBodyAccJerkstdZ"
"59","fBodyAccJerkmeanFreqX"
"60","fBodyAccJerkmeanFreqY"
"61","fBodyAccJerkmeanFreqZ"
"62","fBodyGyromeanX"
"63","fBodyGyromeanY"
"64","fBodyGyromeanZ"
"65","fBodyGyrostdX"
"66","fBodyGyrostdY"
"67","fBodyGyrostdZ"
"68","fBodyGyromeanFreqX"
"69","fBodyGyromeanFreqY"
"70","fBodyGyromeanFreqZ"
"71","fBodyAccMagmean"
"72","fBodyAccMagstd"
"73","fBodyAccMagmeanFreq"
"74","fBodyBodyAccJerkMagmean"
"75","fBodyBodyAccJerkMagstd"
"76","fBodyBodyAccJerkMagmeanFreq"
"77","fBodyBodyGyroMagmean"
"78","fBodyBodyGyroMagstd"
"79","fBodyBodyGyroMagmeanFreq"
"80","fBodyBodyGyroJerkMagmean"
"81","fBodyBodyGyroJerkMagstd"
"82","fBodyBodyGyroJerkMagmeanFreq"
